Expedient;Vista original;Lots oficials;Imports i adjudicatari coincideixen;Font
CTTI-2026-161;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/8f5bc2ef-daa0-4b81-9348-27e775b83ee0/300860922
CTTI-2026-36;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/b5c99746-5cca-472a-8fe0-85faa14ce5ba/300857438
CTTI-2026-51;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/3c20d07e-713b-4719-b2a5-59969fdd6211/300838608
CTTI-2026-77;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/89ae1d7e-3794-452b-ae78-50b676ef3ea3/300800786
CTTI-2026-100;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/22d4694b-296d-4908-837c-1caca77b6df0/300789551
CTTI-2026-89;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/181cb0f0-acd4-422c-b4ae-d3c38e05a852/300783343
CTTI-2026-50;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/fd03191d-2af7-42b5-bc44-057642224612/300762799
CTTI-2026-46;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/3162c119-91ef-4b9a-9e24-926082207438/300744586
CTTI-2026-24;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/b18118ab-a5b7-4063-9851-4cf9db08eb11/300733466
CTTI-2026-38;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/c1160b95-edc0-4082-9855-5a8d755d8774/300726762
CTTI-2026-27;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/8e8ffe52-217f-4e21-a922-d47d5551c89b/300702008
CTTI-2026-39;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/5c842107-d03c-49a3-93ae-0694fd9cee89/300703010
CTTI-2025-184;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/ddc48853-fba4-4136-984b-49b3a1cdb76d/300702860
CTTI-2025-42;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/b610721e-97e7-4235-8bd0-b639a6fe710c/300702795
CTTI-2024-65;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/6dfa394f-7a27-40c0-a5ab-be7263c05311/300048607
CTTI-2026-34;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/b2e42b69-53cc-4be2-89b0-66eb1b450dec/300694357
CTTI-2026-17;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/d7c5ce9b-4475-434b-b24e-d2949abcc13f/300673872
CTTI-2025-260;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/965d59b1-13be-41f2-88b8-42fbacb61139/300670450
CTTI-2026-12;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/3db90ec8-8b15-48c6-bb19-8e6285790c3d/300658742
CTTI-2026-18;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/85100c3f-2752-45be-b651-cfd2422fa40e/300656803
CTTI-2025-204;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/33b370a9-e9b1-479e-9914-9941c08954c4/300543700
CTTI-2025-196;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/038b9c18-d596-4f7d-a918-5aae66b7d56d/300533530
CTTI-2022-252;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/c4ceafe8-2177-bbb9-cfb5-71ea329c1595/300528443
CTTI-2022-104;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/0b8fb620-3e1d-f9f8-cb07-6d53dda577d2/300528422
CTTI-2022-105;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/5098ec39-a1c1-f5e2-18a9-5b5d98cf0e64/300528401
CTTI-2022-116;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/b50328ab-05a9-e336-28ae-a709ecc8eb91/300528377
CTTI-2022-103;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/1b2d7356-d753-113d-f976-95f94d33f58b/300528289
CTTI-2022-169;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/dd54501a-ab7b-06c8-fb93-5aca646040d8/300528241
3263/2026;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/14c3cb4f-7551-4b6b-aa10-0fb25f4d9d11/300830737
001_26000895;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/de8aac4f-b325-4431-8a91-7f59af2d0873/300843473
1531/2024;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/0e6d54c5-d684-436e-9da5-00f097636d79/300872987
2026/4616/3106;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9df2551f-1ed2-4440-9a38-d0336feca32a/300833253
2026024979;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/c3b0dbd8-c3a9-459a-8528-76e24a0911a0/300871368
2026/31403T;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/1aa26823-a226-4b89-a245-83f14bf17450/300838942
2026/090(83/2026/CONT);openLocal;1,2,3;True;https://contractaciopublica.cat/ca/detall-publicacio/dd8bc9d4-d7aa-4575-a2b1-d642483af28f/300867847
AOE/AGI/Contractació/2026/57 — 26/2026/CSERV;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/16ad8b0d-bcfa-4ee4-bb08-46bf297f7eaa/300864957
X2026002981;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/684cbfcf-52d1-4257-b344-7a0bcae059e4/300874263
817/2026;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/caed3e2c-9eaa-4c23-97ef-aa3cf271c1ca/300868783
001_26002235;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/dca40608-9b6d-4a4c-9fbe-2931026cefd2/300868866
TIC/2026/24;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/16120590-0008-467d-815a-76cdcd62f7af/300859978
TIC/2025/72;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/3ede5181-a7a0-4c1b-af1c-a67bf581566b/300860027
8004330008-2026-0006700;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/42409ba5-f5c1-4eb2-80ab-192012400098/300866218
Compres Exp490/2026 G626;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/57abd9f5-4b23-4cc1-a16a-b48d4cf561ac/300857933
DC SUBM 20_26 (2026/00005348W);openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/05f58e6a-f52c-4e2d-a5b0-f8cf2f263a43/300856898
CTON2026000030;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/02230332-1a4d-4043-a2e1-17fce2852318/300850315
2026/00001965T;openLocal;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/7237d3b2-f5ea-4d02-b8b8-2cfb098bd103/300863317
