SDA;Expedient;Objecte;Categoria;Publicació avís;Termini publicat;Pressupost sense IVA;Font;Extracció
CTTI-2025-96;CTTI-2026-34;CTTI-2026-34 Anunci de licitació del contracte específic: Evolució del sistema aïDA (DA Digital) i el procediment d'Integració de Solucions;Subcategoria C Franja C2;2025-12-05T10:42:10.068Z;2025-12-14T11:00:00.000Z;500047.94;https://contractaciopublica.cat/ca/detall-publicacio/b2e42b69-53cc-4be2-89b0-66eb1b450dec/300638948?hash=195e0c102e1ff6e262d8b026b069b0c0;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-27;CTTI-2026-27, Anunci de licitació del contracte específic: Servei de construcció i desenvolupament de la nova plataforma de gestió acadèmica de l’Escola d’Administració Pública de Catalunya;Subcategoria B2 Franja B2-2;2025-12-03T12:54:07.146Z;2025-12-18T11:00:59.000Z;452194.64;https://contractaciopublica.cat/ca/detall-publicacio/8e8ffe52-217f-4e21-a922-d47d5551c89b/300630629?hash=e1d52a530c1b2a688d23b38933b57e1b;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-256;CTTI-2025-256 Anunci de licitació del contracte específic: Servei de suport a l’operativa en la prestació dels serveis i les solucions TIC del CTTI;Subcategoria E Franja E2;2025-11-27T15:40:05.402Z;2025-12-09T11:00:59.000Z;5007594.53;https://contractaciopublica.cat/ca/detall-publicacio/da35fe6d-4d16-4814-a587-5d35c793592c/300630974?hash=7564d86cbf3019097dfb9c0b338e2864;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-21;CTTI-2026-21 Anunci de licitació del contracte específic: Oficina de suport a la governança d'arquitectura;Subcategoria E Franja E2;2025-11-25T12:22:07.294Z;2025-12-09T11:00:00.000Z;1424500.29;https://contractaciopublica.cat/ca/detall-publicacio/213198ae-551d-4f2a-940d-fbd87314c371/300628234?hash=fe5918f5488ca33cb94cf64f314c2068;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-24;CTTI-2026-24, Anunci de licitació del contracte específic: Servei per al Pla de Transformació Digital de la Direcció General de Política Marítima i Pesca Sostenible ;Subcategoria C Franja C2;2025-11-25T07:26:05.427Z;2025-12-17T11:00:59.000Z;1155365.64;https://contractaciopublica.cat/ca/detall-publicacio/b18118ab-a5b7-4063-9851-4cf9db08eb11/300624855?hash=c9024b3c630b041fbfbf9c9dc3d1bb28;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-18;CTTI-2026-18, Anunci de licitació del contracte específic: Servei d’adaptació BI OTMP al CCAE-2025;Subcategoria B3 Franja B3-2;2025-11-18T14:32:05.409Z;2025-11-28T11:00:59.000Z;372398.4;https://contractaciopublica.cat/ca/detall-publicacio/85100c3f-2752-45be-b651-cfd2422fa40e/300615761?hash=15062b01ddcdcc1f1ac4ff4715f10843;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-262;CTTI-2025-262 Anunci de licitació del contracte específic: Servei de definició de l'alienament de l'actual model de govern TIC vers el Framework SIAM corresponent a la Categoria A (Servei de Consultoria de Solucions TIC), Franja A2;"Categoria A Franja A1; Categoria A Franja A2; Subcategoria B1 ; Subcategoria B2 Franja B2-1; Subcategoria B2 Franja B2-2; Subcategoria B3 Franja B3-1; Subcategoria B3 Franja B3-2; Subcategoria B4 Franja B4-1; Subcategoria B4 Franja B4-2; Subcategoria C Franja C1; Subcategoria C Franja C2; Subcategoria D Franja D1;  Subcategoria D Franja D2; Subcategoria E Franja E1; Subcategoria E Franja E2";2025-11-07T11:46:05.388Z;2025-11-28T11:00:00.000Z;230782.46;https://contractaciopublica.cat/ca/detall-publicacio/a59beeca-7e4e-42c1-a527-825eeef6595f/300610914?hash=f441596c1b3be1c65cedaaec1afc5da9;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-17;CTTI-2026-17 Servei de construcció, manteniment i operació del Sistema d’informació LECTIO V3.0.;Subcategoria C Franja C2;2025-11-06T15:14:07.215Z;2025-11-17T11:00:59.000Z;2956870.3;https://contractaciopublica.cat/ca/detall-publicacio/d7c5ce9b-4475-434b-b24e-d2949abcc13f/300601032?hash=42b0f7ca8198f5bd2498d43058d92d88;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-260;CTTI-2025-260 Servei de construcció i posada en marxa del sistema de gestió processal de menors, Sala Penal del Tribunal Superior de Justícia i projectes urgents derivats de modificacions legislatives;Subcategoria C Franja C2;2025-11-06T13:22:05.408Z;2025-11-21T11:00:00.000Z;1983434.46;https://contractaciopublica.cat/ca/detall-publicacio/965d59b1-13be-41f2-88b8-42fbacb61139/300610676?hash=72b1b636613175fd029e7c0050b6193c;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-254; CTTI-2025-254 Anunci Licitació Contracte Específic: Servei de suport al model analític i govern de la dada del CTTI;Subcategoria E Franja E2;2025-10-24T10:28:09.204Z;2025-11-13T11:00:00.000Z;1374335.42;https://contractaciopublica.cat/ca/detall-publicacio/9bed75a7-2206-4dc1-9500-eb2a16bae3d2/300597613?hash=dc092d96772a6ef7c2fa5aae7e85e5a8;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-12;CTTI-2026-12 Renovació Gestor Taxes i Ingressos Salut (GTIS);Subcategoria C Franja C2;2025-10-24T10:24:05.780Z;2025-11-08T11:00:00.000Z;543537.01;https://contractaciopublica.cat/ca/detall-publicacio/3db90ec8-8b15-48c6-bb19-8e6285790c3d/300597371?hash=9aaa6b8a86838ec49b86bbcf32d2ccc8;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-255;CTTI-2025-255 Anunci de licitació del contracte específic: Suport a la gestió operativa dels Ans i la informació operativa dels serveis de la Divisió de Serveis Digitals i Solucions TIC;Subcategoria E Franja E2;2025-10-24T07:12:19.481Z;2025-11-06T11:00:00.000Z;1561213.64;https://contractaciopublica.cat/ca/detall-publicacio/b5a86355-fec8-4ad8-8e2a-6dc55813bb1b/300596877?hash=3cdc97417304ee0f2cccaaccd74bdaa9;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-251;CTTI-2025-251 Anunci de licitació del contracte específic: Centre de suport i transformació de metodologies TIC; Subcategoria D Franja D2;2025-10-16T11:38:09.171Z;2025-10-30T11:00:00.000Z;347364.87;https://contractaciopublica.cat/ca/detall-publicacio/f2b55980-8c58-4c0d-8814-64c17a038a16/300589051?hash=cd32e4e06da192ec886070801be599dd;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-250;CTTI-2025-250 Anunci de licitació del contracte específic: Centre de suport i transformació de la Qualitat del cicle de vida del software; Subcategoria D Franja D2;2025-10-16T11:36:12.339Z;2025-10-30T11:00:00.000Z;1024507.97;https://contractaciopublica.cat/ca/detall-publicacio/a0bf96c9-4f4f-4ddd-81ba-6675b3a83da8/300589053?hash=0b6ff648e9921f67598da3f750d7df55;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-253;CTTI-2025-253 Anunci de licitació del contracte específic: Servei de suport a la implementació, desplegament i manteniment del model d'arquitectura;Subcategoria E Franja E2;2025-10-16T10:02:14.157Z;2025-10-30T11:00:55.000Z;353521.15;https://contractaciopublica.cat/ca/detall-publicacio/9b451d07-919b-4fed-82d6-4665e4a6c2df/300588800?hash=c718ac10ae996234549378f95fdc4a26;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2025-242;CTTI-2025-242 Anunci de licitació del contracte específic: Servei de consultoria de solucions SAP S4 HANA al Sistema d’informació del GECAT”- Corresponent a la CATEGORIA A: SERVEI DE CONSULTORIA DE SOLUCIONS TIC, FRANJA A2;Categoria A Franja A2;2025-10-09T08:26:09.554Z;2025-10-28T11:00:00.000Z;413436.67;https://contractaciopublica.cat/ca/detall-publicacio/81d6b023-7266-4c58-80f3-0993dc6dc190/300582201?hash=74dae2bd953a0589961212ca00df4d83;2026-09-08T17:47:45.890635+00:00
